iter	Passed	Remaining
587	28110	19696
588	28152	19644
589	28212	19605
590	28263	19559
591	28306	19508
592	28346	19455
593	28411	19419
594	28457	19370
595	28506	19323
596	28560	19279
597	28603	19228
598	28641	19173
599	28692	19128
600	28737	19078
601	28783	19029
602	28824	18977
603	28874	18931
604	28938	18893
605	28985	18845
606	29032	18796
607	29075	18746
608	29127	18700
609	29168	18648
610	29202	18592
611	29245	18541
612	29294	18494
613	29337	18443
614	29374	18388
615	29432	18347
616	29473	18295
617	29509	18240
618	29549	18187
619	29616	18151
620	29674	18110
621	29727	18065
622	29778	18020
623	29815	17965
624	29863	17918
625	29908	17868
626	29969	17828
627	30009	17776
628	30052	17725
629	30088	17671
630	30134	17622
631	30170	17567
632	30210	17515
633	30292	17487
634	30364	17453
635	30407	17402
636	30460	17358
637	30511	17312
638	30549	17258
639	30598	17211
640	30647	17164
641	30690	17114
642	30733	17063
643	30774	17011
644	30831	16969
645	30873	16918
646	30921	16870
647	30965	16820
648	31016	16774
649	31060	16724
650	31102	16674
651	31142	16621
652	31192	16575
653	31235	16525
654	31275	16473
655	31430	16481
656	31558	16475
657	31603	16426
658	31655	16380
659	31724	16342
660	31776	16296
661	31850	16262
662	31906	16217
663	31959	16172
664	32010	16125
665	32075	16086
666	32127	16039
667	32172	15989
668	32226	15944
669	32283	15901
670	32333	15853
671	32396	15812
672	32490	15786
673	32536	15737
674	32600	15696
675	32643	15645
676	32696	15599
677	32811	15583
678	32885	15546
679	32938	15500
680	33006	15460
681	33056	15413
682	33100	15362
683	33153	15316
684	33210	15272
685	33262	15225
686	33316	15179
687	33392	15143
688	33445	15096
689	33496	15049
690	33545	15000
691	33613	14960
692	33659	14911
693	33705	14861
694	33763	14817
695	33814	14769
696	33872	14724
697	33927	14679
698	33979	14632
699	34031	14584
700	34101	14545
701	34146	14495
702	34195	14446
703	34257	14403
704	34315	14358
705	34371	14313
706	34450	14277
707	34494	14226
708	34542	14177
709	34599	14132
710	34650	14084
711	34747	14055
712	34796	14006
713	34847	13958
714	34897	13910
715	34952	13863
716	35037	13829
717	35084	13779
718	35155	13739
719	35203	13690
720	35249	13640
721	35300	13592
722	35365	13549
723	35415	13500
724	35467	13453
725	35527	13408
726	35573	13358
727	35623	13309
728	35672	13261
729	35732	13216
730	35782	13167
731	35833	13119
732	35890	13073
733	35937	13023
734	35982	12973
735	36055	12932
736	36109	12885
737	36156	12835
738	36195	12783
739	36260	12740
740	36313	12692
741	36348	12638
742	36408	12593
743	36464	12546
744	36518	12499
745	36585	12456
746	36635	12407
747	36685	12359
748	36733	12309
749	36779	12259
750	36966	12256
751	37054	12219
752	37115	12174
753	37178	12129
754	37238	12084
755	37325	12046
756	37377	11998
757	37444	11954
758	37510	11910
759	37576	11866
760	37635	11819
761	37699	11774
762	37759	11728
763	37805	11678
764	37870	11633
765	37918	11583
766	37967	11533
767	38024	11486
768	38073	11436
769	38121	11387
770	38177	11339
771	38224	11288
772	38273	11239
773	38323	11189
774	38374	11140
775	38424	11091
776	38472	11041
777	38550	11000
778	38609	10953
779	38665	10905
780	38715	10856
781	38776	10809
782	38868	10771
783	38917	10722
784	38963	10671
785	39011	10621
786	39073	10575
787	39122	10525
788	39173	10476
789	39285	10442
790	39384	10406
791	39435	10356
792	39489	10308
793	39545	10259
794	39592	10209
795	39653	10162
796	39711	10114
797	39764	10065
798	39813	10015
799	39879	9969
800	39921	9918
801	39981	9870
802	40069	9830
803	40130	9782
804	40173	9731
805	40224	9681
806	40296	9637
807	40360	9590
808	40415	9541
809	40477	9494
810	40527	9444
811	40590	9397
812	40640	9347
813	40711	9302
814	40759	9252
815	40807	9201
816	40848	9149
817	40897	9099
818	40937	9047
819	40981	8995
820	41070	8954
821	41160	8913
822	41233	8867
823	41295	8820
824	41344	8770
825	41519	8746
826	41631	8708
827	41707	8663
828	41765	8615
829	41864	8574
830	41932	8527
831	41997	8480
832	42070	8434
833	42127	8385
834	42211	8341
835	42277	8293
836	42333	8244
837	42405	8197
838	42509	8157
839	42627	8119
840	42679	8069
841	42772	8026
842	42827	7976
843	42878	7925
844	42936	7875
845	42985	7824
846	43041	7774
847	43101	7725
848	43155	7675
849	43199	7623
850	43249	7572
851	43303	7522
852	43402	7479
853	43452	7428
854	43501	7377
855	43550	7326
856	43601	7275
857	43659	7225
858	43703	7173
859	43751	7122
860	43824	7074
861	43867	7022
862	43930	6973
863	43990	6924
864	44038	6873
865	44086	6821
866	44131	6769
867	44177	6718
868	44228	6667
869	44275	6615
870	44326	6564
871	44386	6515
872	44430	6463
873	44474	6411
874	44532	6361
875	44574	6309
876	44623	6258
877	44679	6208
878	44753	6160
879	44806	6109
880	44854	6058
881	44926	6010
882	44973	5959
883	45087	5916
884	45168	5869
885	45291	5827
886	45391	5782
887	45479	5736
888	45675	5702
889	45751	5654
890	45825	5606
891	45900	5557
892	45970	5508
893	46061	5461
894	46157	5415
895	46253	5368
896	46411	5329
897	46537	5285
898	46647	5240
899	46736	5192
900	46838	5146
901	46922	5098
902	47021	5051
903	47120	5003
904	47214	4956
905	47304	4907
906	47396	4859
907	47491	4811
908	47573	4762
909	47676	4715
910	47758	4665
911	47828	4615
912	47959	4570
913	48057	4521
914	48152	4473
915	48265	4426
916	48367	4377
917	48467	4329
918	48566	4280
919	48666	4231
920	48774	4183
921	48899	4136
922	49000	4087
923	49110	4039
924	49213	3990
925	49316	3941
926	49416	3891
927	49503	3840
928	49595	3790
929	49686	3739
930	49804	3691
931	49900	3640
932	49995	3590
933	50104	3540
934	50207	3490
935	50297	3439
936	50389	3387
937	50486	3337
938	50586	3286
939	50685	3235
940	50796	3184
941	50910	3134
942	51020	3083
943	51113	3032
944	51216	2980
945	51312	2929
946	51412	2877
947	51497	2824
948	51592	2772
949	51697	2720
950	51780	2667
951	51881	2615
952	51976	2563
953	52076	2511
954	52169	2458
955	52276	2406
956	52431	2355
957	52535	2303
958	52681	2252
959	52812	2200
960	52938	2148
961	53045	2095
962	53146	2041
963	53257	1988
964	53357	1935
965	53542	1884
966	53654	1831
967	53755	1777
968	53851	1722
969	53953	1668
970	54109	1616
971	54245	1562
972	54367	1508
973	54465	1453
974	54561	1399
975	54721	1345
976	54817	1290
977	54915	1235
978	55013	1180
979	55116	1124
980	55216	1069
981	55343	1014
982	55430	958
983	55523	902
984	55614	846
985	55721	791
986	55810	735
987	55902	678
988	56001	622
989	56105	566
990	56186	510
991	56277	453
992	56359	397
993	56446	340
994	56534	284
995	56619	227
996	56718	170
997	56805	113
998	56900	56
999	57032	0
